english;turkish
that;o
for;için
have;sahip olmak
it;O
on;üzerinde
i;ben
with;ile
not;olumsuzluk
as;gibi
you;sen
this;bu
by;tarafından
or;veya
at;içinde
do;yapmak
from;-dan, -den
we;Biz
an;bir
will;irade
they;onlar
but;ancak
all;Tümü
he;o
your;sizin
if;Eğer
can;olabilmek
their;onların
one;bir
more;daha fazla
which;hangisi
use;kullanmak
about;hakkında
other;diğer
make;Yapmak
his;onun
what;ne
there;orada
would;istemek
who;kim
my;benim
say;söylemek
so;böyle
when;ne zaman
time;zaman
new;yeni
our;bizim
get;almak
some;biraz
work;İş
may;Mayıs
out;dışarı
year;yıl
also;ayrıca
people;insanlar
good;iyi
no;hayır
go;Git
up;yukarı
these;bunlar
than;hariç
take;almak
any;hiç
see;görmek
its;onun
how;nasıl
them;onlara
only;bir tek
like;beğenmek
into;içine
know;bilmek
need;ihtiyaç
should;meli
just;sadece
most;en
first;ilk
such;çok
her;onun
me;Bende
find;bulmak
many;birçok
give;vermek
way;yol
information;bilgi
she;o
well;iyi
think;düşünmek
include;Dahil etmek
now;şimdi
two;iki
over;üzerinde
could;abilir
then;o zaman
